react_name,canonical_smiles,raw_energy,relative_energy,normalize_energy
C39431,C/C=C/[C@H]1C[C+](C)[C@H](C)C1,-390.8160921372871,-10.94747989996244,0.4322903567424144
C37239,C[C@H]1C[C@@H]2C[CH+]C[C@H]1[C@H]2C,-390.8160914529949,-10.947050500095148,0.4322959592021512
C37295,C[C@@H]1C[C@H]2C[CH+]C[C@@H]1[C@@H]2C,-390.8160914502441,-10.947048773927223,0.4322959817237844
C28104,C=C1[C@H](C)[CH+]C[C@H](C)[C@H]1C,-390.816082415178,-10.94137918414327,0.4323699539135973
C25350,C=C1[C@@H](C)[CH+]C[C@@H](C)[C@@H]1C,-390.81608241341496,-10.941378077809208,0.4323699683481431
C104185,CCC(CC)[C@H]1[CH+]C=CC1,-390.8160804358598,-10.9401371431698,0.4323861590526191
C698,C[C+](C)[C@@H]1CC=CC[C@H]1C,-390.8160786690343,-10.939028443380286,0.4324006244644744
C44022,C[C@@H]1C[C@@]2(C)CCCC[C+]12,-390.816073823436,-10.935987784406365,0.4324402965062528
C37589,C[C@H]1C[C@]2(C)CCCC[C+]12,-390.8160720180621,-10.934854895116246,0.4324550775230105
C105617,C[CH+]C[C@H]1C[C@H]2CC[C@@H]1C2,-390.81607013880057,-10.93367564066966,0.4324704634745669
C99067,C[C@H]1C[C@H]2C[CH+]C[C@@H]1CC2,-390.81606428447947,-10.930001998561751,0.4325183941647344
C98684,C[C@@H]1C[C@@H]2C[CH+]C[C@H]1CC2,-390.8160639384132,-10.92978483869703,0.4325212274897799
C81207,CC[C@@H]1C=C[CH+]CC[C@@H]1C,-390.8160601894069,-10.927432301639325,0.4325519214772475
C8920,CC(C)=C[C@@H]1CC[C+](C)C1,-390.8160519960402,-10.92229088617371,0.4326190024787348
C5450,CC(C)=C[C@H]1CC[C+](C)C1,-390.8160509243386,-10.921618383236096,0.432627776749334
C16384,CC[C@H]1CC=C[C@@H]1[C+](C)C,-390.8160504227063,-10.921303604229,0.4326318837294418
C16482,CC[C@@H]1CC=C[C@H]1[C+](C)C,-390.81604846111793,-10.9200726888756,0.4326479437104343
C97732,C[C@H]1C[C@@H]2CC[CH+]C[C@H]1C2,-390.8160466464715,-10.918933980987417,0.4326628006435205
C95820,C[C@@H]1C[C@H]2CC[CH+]C[C@@H]1C2,-390.8160465872722,-10.918896832867814,0.4326632853219291
C101668,C[C@@H]1C[CH+][C@H]2CCCC[C@@H]21,-390.8160427460092,-10.916486403855496,0.4326947346364695
C72682,CCC1=CC[C+](C)[C@H]1CC,-390.816039434421,-10.914408350789811,0.4327218473803669
C100053,C[C@@H]1[CH+]CCC12CCCC2,-390.81603901773576,-10.91414687685262,0.4327252588793378
C13559,C[CH+][C@@H]1C[C@H]2C[C@@H]1C[C@@H]2C,-390.8160359781015,-10.91223947749253,0.4327501450726764
C46856,[CH2+]C1=C[C@H](C)[C@H](CC)CC1,-390.8160351726916,-10.911734075121853,0.432756739151176
C104873,C[C@@H]1[C@H]2CC[CH+]C[C@@H]1CC2,-390.81603456521214,-10.91135287597818,0.4327617127271288
C104869,C[C@@H]1[C@H]2C[CH+]CC[C@@H]1CC2,-390.8160325783591,-10.910106106831982,0.4327779795554974
C51715,C/C=C1\CC[C+](C)[C@H]1CC,-390.8160309603451,-10.909090787651254,0.4327912266132246
C56881,C[CH+][C@H]1[C@@H]2C[C@H](C)[C@H](C)[C@H]12,-390.8160305198912,-10.908814398678675,0.4327948327114293
C47510,C/C=C1\CC[C+](C)[C@@H]1CC,-390.8160305062325,-10.908805827692966,0.4327949445386701
C56892,C[CH+][C@H]1[C@@H]2[C@H](C)[C@H](C)C[C@@H]21,-390.8160295968546,-10.908235184428811,0.4328023898272113
C33246,CC[C+](C)[C@@H]1C=C[C@@H](C)C1,-390.8160204223692,-10.902478107683365,0.4328775034756427
C48676,[CH2+]C1=C[C@H](C)[C@H](C)[C@@H](C)C1,-390.8160046353124,-10.892571579575716,0.4330067557858612
C70230,C=C[C@@]1(C)CCC[C+]1CC,-390.816000076411,-10.889710825622918,0.4330440805734504
C70567,C=C[C@]1(C)CCC[C+]1CC,-390.8159999835559,-10.88965255817248,0.4330448407996869
C98322,C[C@H]1[CH+]CC[C@@H]2CC[C@H]1C2,-390.81599282837215,-10.885162612384834,0.433103421955416
